AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-3030,Driver/Sales Workers and Truck Drivers,broad,"3,511,470",0.4,,,,,24.43,"50,810",0.2,14.20,18.36,23.14,29.14,36.17,"29,540","38,180","48,120","60,610","75,230",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-3031,Driver/Sales Workers,detailed,"463,120",2.4,,,,,18.38,"38,230",0.9,10.00,12.45,17.03,22.42,29.37,"20,800","25,900","35,420","46,640","61,080",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed,"2,044,400",0.7,,,,,26.92,"55,990",0.3,18.00,22.08,26.12,30.29,36.91,"37,440","45,920","54,320","63,010","76,780",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-3033,Light Truck Drivers,detailed,"1,003,960",0.5,,,,,22.16,"46,090",0.2,13.50,16.88,20.42,24.57,36.10,"28,070","35,110","42,470","51,110","75,090",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-3050,Passenger Vehicle Drivers,broad,"779,210",0.6,,,,,22.25,"46,280",0.3,13.50,16.69,21.19,26.66,33.29,"28,070","34,700","44,080","55,450","69,250",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-3051,"Bus Drivers, School",detailed,"371,530",0.9,,,,,21.74,"45,210",0.4,13.16,17.45,21.95,25.43,29.48,"27,380","36,290","45,660","52,900","61,320",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-3052,"Bus Drivers, Transit and Intercity",detailed,"184,990",0.7,,,,,28.78,"59,860",0.4,18.09,22.21,28.93,36.88,39.74,"37,630","46,210","60,170","76,700","82,660",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-3053,Shuttle Drivers and Chauffeurs,detailed,"204,930",1.1,,,,,17.75,"36,920",0.3,12.38,14.32,16.94,20.00,24.00,"25,750","29,790","35,240","41,600","49,920",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-3054,Taxi Drivers,detailed,"17,770",2.8,,,,,16.88,"35,120",1.0,13.00,14.39,16.67,17.93,19.53,"27,040","29,920","34,680","37,280","40,630",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-3090,Miscellaneous Motor Vehicle Operators,broad,"51,140",3.5,,,,,19.22,"39,970",1.4,11.80,13.89,17.16,22.33,30.49,"24,550","28,890","35,690","46,440","63,410",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-3099,"Motor Vehicle Operators, All Other",detailed,"51,140",3.5,,,,,19.22,"39,970",1.4,11.80,13.89,17.16,22.33,30.49,"24,550","28,890","35,690","46,440","63,410",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-4000,Rail Transportation Workers,minor,"111,600",0.3,,,,,34.69,"72,150",0.3,24.79,30.13,35.53,38.75,43.21,"51,550","62,670","73,890","80,600","89,880",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-4010,Locomotive Engineers and Operators,broad,"34,820",0.6,,,,,35.86,"74,600",0.3,27.87,32.53,35.75,38.54,44.55,"57,960","67,660","74,360","80,150","92,670",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-4011,Locomotive Engineers,detailed,"32,390",0.5,,,,,36.48,"75,870",0.3,28.58,35.21,35.95,38.63,44.55,"59,450","73,240","74,770","80,340","92,670",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",detailed,"2,430",4.4,,,,,27.69,"57,580",1.1,18.65,23.60,27.44,30.31,36.77,"38,800","49,080","57,070","63,050","76,470",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-4020,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",broad,"13,610",0.9,,,,,30.21,"62,840",0.4,21.32,27.51,30.55,32.47,37.56,"44,350","57,220","63,540","67,540","78,120",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",detailed,"13,610",0.9,,,,,30.21,"62,840",0.4,21.32,27.51,30.55,32.47,37.56,"44,350","57,220","63,540","67,540","78,120",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-4030,Railroad Conductors and Yardmasters,broad,"46,490",0.3,,,,,34.72,"72,220",0.3,26.25,29.89,34.20,37.74,47.70,"54,610","62,180","71,130","78,490","99,210",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-4031,Railroad Conductors and Yardmasters,detailed,"46,490",0.3,,,,,34.72,"72,220",0.3,26.25,29.89,34.20,37.74,47.70,"54,610","62,180","71,130","78,490","99,210",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-4040,Subway and Streetcar Operators,broad,"14,860",0.7,,,,,37.20,"77,370",0.4,26.29,35.37,40.51,40.53,41.88,"54,690","73,570","84,270","84,310","87,110",,
